LRSN,PIN,curr_own_len,avg_own_len,PropClas,resOwner,ownerDistance
52052,W0000142045,900.0,1235.0,161,0,2
3290,C0040250058,249.0,2174.0,110,1,0
72051,C0050895069,,,110,0,3
49137,S0071484011,1270.0,8149.0,110,0,3
22191,E0000946004,12617.0,11091.0,110,1,0
69454,W0220174007,10700.0,10700.0,120,1,0
38239,N0051079002,6224.0,5316.0,115,1,0
44040,S0001350003,6812.0,7269.0,110,1,0
6712,C0050693004,841.0,1841.0,110,1,0
67990,W0210188021,10878.0,4469.0,115,1,0
74925,C0030240028,553.0,1689.0,120,1,0
39985,N0180534014,2088.0,5214.0,115,0,2
73091,E0000162049,2695.0,2091.0,211,1,0
41816,S0000362018,714.0,1816.0,110,0,2
38705,N0160158004,7329.0,6056.0,150,1,0
1736,C0011174006,4110.0,10224.0,150,1,0
62006,W0001522019,4550.0,3222.0,120,1,0
33612,N0001138021,1036.0,870.0,120,1,0
36958,N0001893016,884.0,8080.0,120,1,0
63606,W0001872010,729.0,3434.0,115,1,0
59794,W0001330004,921.0,2093.0,150,1,0
80904,C0011230038,2111.0,754.0,115,1,0
55213,W0000805008,5798.0,3932.0,110,1,0
48156,S0070983015,2930.0,3383.0,110,0,2
16345,C0091006036,697.0,3871.0,110,1,0
44200,S0001475017,486.0,392.0,110,0,3
52603,W0000298025,1968.0,3301.0,212,0,3
67442,W0210109003,9989.0,22058.0,120,1,0
62071,W0001585028,13371.0,4749.0,115,0,2
31436,N0000889020,1021.0,5682.0,120,1,0
31330,N0000874020,2467.0,1963.0,120,1,0
66475,W0200110032,3026.0,3101.0,115,1,0
48705,S0071230012,1464.0,1232.0,110,0,2
34265,N0001223001,826.0,4154.0,115,1,0
9005,C0060531011,2206.0,2620.0,110,1,0
31501,N0000895030,5821.0,6615.0,120,1,0
5250,C0050168036,1282.0,2269.0,115,1,0
1285,C0010918010,6580.0,6721.0,150,1,0
47255,S0060248012,1172.0,897.0,120,1,0
37491,N0002102012,4816.0,3087.0,120,1,0
67346,W0200227011,5800.0,3981.0,120,1,0
48143,S0070983001,1471.0,1009.0,110,0,3
30671,N0000775018,2857.0,2350.0,120,0,3
44727,S0002001016,6212.0,2264.0,110,1,0
49334,S0071629020,15750.0,8698.0,115,0,3
19230,E0000527042,2058.0,1363.0,120,1,0
29904,N0000642015,434.0,391.0,120,0,3
18780,E0000477001,6812.0,2928.0,110,0,2
44734,S0002002007,3097.0,2169.0,120,0,2
64230,W0002028020,9846.0,10153.0,115,1,0
26454,N0000062047,9020.0,4966.0,120,0,2
10273,C0070199038,13387.0,5168.0,110,0,4
47968,S0070864007,8504.0,8300.0,110,1,0
18081,E0000383012,815.0,1257.0,120,1,0
64665,W0190110002,407.0,1270.0,110,1,0
6448,C0050616016,13850.0,8282.0,110,1,0
67216,W0200193033,5658.0,11391.0,120,1,0
27682,N0000306001,6744.0,3034.0,120,1,0
9355,C0060659030,9825.0,3892.0,110,1,0
12418,C0080591030,6416.0,2751.0,115,0,3
37778,N0002272010,1858.0,1834.0,120,1,0
23009,E0001238005,4060.0,1366.0,110,0,2
23707,E0001792015,2250.0,806.0,115,0,3
63762,W0001916004,851.0,1188.0,120,1,0
48573,S0071181009,879.0,2259.0,115,0,2
46504,S0043279099,882.0,1418.0,115,1,0
6101,C0050482020,730.0,4418.0,115,0,1
5628,C0050298005,494.0,627.0,110,1,0
12422,C0080592002,3530.0,2822.0,115,0,3
7395,C0050869020,1873.0,1725.0,110,1,0
10004,C0070166014,7178.0,3990.0,110,0,2
80403,C0010491091,1037.0,1475.0,120,1,0
34229,N0001180001,1892.0,2705.0,110,1,0
44997,S0002281018,7414.0,3418.0,110,0,2
23783,E0002040001,6650.0,6044.0,120,1,0
33985,N0001160010,214.0,1106.0,120,1,0
60720,W0001413032,10335.0,4147.0,130,1,0
60602,W0001409025,5797.0,2795.0,120,1,0
22203,E0000948003,186.0,7828.0,110,0,3
741,C0010616016,9020.0,5252.0,110,1,0
78905,W0000016063,731.0,1313.0,212,0,4
20115,E0000622027,2261.0,4791.0,160,0,2
10890,C0070383016,9543.0,6325.0,110,1,0
73460,S0071180024,1012.0,1118.0,110,1,0
46930,S0060189015,6178.0,9455.0,110,1,0
46624,S0053307012,1571.0,3207.0,120,1,0
24081,E0002812002,17132.0,17132.0,120,1,0
64663,W0190108028,6808.0,6807.0,110,1,0
